,Line,Trap.ID,Elevation,mrat,mstoat
135,DFT,DFT102,938,0,0.018604651
136,DFT,DFT103,937,0,0.018604651
137,DFT,DFT104,935,0,0.009302326
138,DFT,DFT105,929,0,0.013953488
139,DFT,DFT106,923,0.004651163,0.009302326
140,DFT,DFT107,915,0.009302326,0.013953488
141,DFT,DFT108,905,0,0
142,DFT,DFT109,890,0.004651163,0.013953488
143,DFT,DFT110,876,0.013953488,0.013953488
144,DFT,DFT111,866,0.009302326,0.004651163
145,DFT,DFT112,854,0.009302326,0.009302326
146,DFT,DFT113,835,0.018604651,0.023255814
147,DFT,DFT114,820,0.027906977,0.004651163
148,DFT,DFT115,813,0.023255814,0.004651163
149,DFT,DFT116,832,0,0.013953488
150,DFT,DFT117,841,0.004651163,0.037209302
151,DFT,DFT118,859,0.004651163,0.018604651
152,DFT,DFT119,868,0,0.004651163
153,DFT,DFT120,868,0.004651163,0
154,DFT,DFT121,868,0.013953488,0.023255814
155,DFT,DFT122,864,0,0.004651163
156,DFT,DFT123,861,0.023255814,0.018604651
157,DFT,DFT124,860,0.013953488,0.013953488
158,DFT,DFT125,864,0.009302326,0.004651163
159,DFT,DFT126,868,0.009302326,0.018604651
160,DFT,DFT127,870,0,0
161,DFT,DFT128,875,0.004651163,0.023255814
162,DFT,DFT129,885,0,0.018604651
163,DFT,DFT130,881,0.009302326,0.013953488
164,DFT,DFT131,885,0.013953488,0.009302326
165,DFT,DFT132,890,0,0.013953488
166,DFT,DFT133,900,0.013953488,0.004651163
167,DFT,DFT134,899,0,0.018604651
168,DFT,DFT135,907,0.004651163,0.009302326
169,DFT,DFT136,922,0.004651163,0.023255814
170,DFT,DFT137,940,0.009302326,0.023255814
171,DFT,DFT138,952,0,0.051162791
172,DFT,DFT139,951,0,0.004651163
173,DFT,DFT140,956,0.013953488,0
174,DFT,DFT141,960,0.004651163,0.009302326
175,DFT,DFT145,965,0,0.004651163
176,DFT,DFT146,970,0,0.004651163
177,HQ,HC151,833,0.009302326,0
178,HQ,HC152,853,0.009302326,0.004651163
179,HQ,HC153,858,0.009302326,0
180,HQ,HC154,864,0,0.004651163
181,HQ,HC155,897,0.009302326,0
182,HQ,HC155.5,924,0,0
183,HQ,HC156,934,0.004651163,0.018604651
184,HQ,HC157,947,0,0.013953488
185,HQ,HC158,936,0.004651163,0.037209302
186,HQ,HC159,928,0,0
187,HQ,HC160,916,0.004651163,0
188,HQ,HC161,922,0,0.013953488
189,HQ,HC162,923,0,0.013953488
190,HQ,HC163,944,0,0.018604651
191,HQ,HC164,956,0.004651163,0.013953488
192,HQ,HC165,969,0.004651163,0.013953488
193,HQ,HC166,986,0,0.027906977
194,HQ,HC167,982,0,0.004651163
195,HQ,HC168,980,0,0.004651163
196,HQ,HC168.5,978,0.004651163,0
197,HQ,HC169,980,0,0
198,HQ,HC169.5,967,0,0.004651163
199,HQ,HC170,961,0,0.004651163
200,HQ,HQ301,900,0.004651163,0.009302326
201,HQ,HQ302,898,0.018604651,0.004651163
202,HQ,HQ303,898,0,0.004651163
203,HQ,HQ304,898,0.004651163,0.013953488
204,HQ,HQ305,892,0.013953488,0.009302326
205,HQ,HQ306,891,0.013953488,0.004651163
206,HQ,HQ307,898,0.013953488,0
207,HQ,HQ308,900,0.009302326,0.004651163
208,HQ,HQ309,891,0.004651163,0
209,HQ,HQ310,920,0.009302326,0.004651163
210,HQ,HQ311,921,0,0
211,HQ,HQ312,916,0,0
212,HQ,HQ313,921,0,0
213,HQ,HQ314,893,0,0.004651163
214,HQ,HQ315,897,0,0
215,HQ,HQ316,933,0,0.004651163
216,HQ,HQ317,946,0.004651163,0.004651163
217,HQ,HQ321,950,0.004651163,0
218,HQ,HQ322,950,0,0.004651163
219,LST,LST01,893,0.009302326,0.013953488
220,LST,LST02,898,0,0.018604651
221,LST,LST03,926,0,0.004651163
222,LST,LST04,916,0,0.023255814
223,LST,LST05,916,0,0.013953488
224,LST,LST06,947,0,0.018604651
225,LST,LST07,962,0,0.027906977
226,LST,LST08,978,0,0
227,LST,LST09,991,0,0.004651163
228,LST,LST10,1004,0,0.013953488
229,LST,LST11,1019,0,0.013953488
230,LST,LST12,1040,0,0.009302326
231,LST,LST13,1056,0,0.004651163
232,LST,LST14,1072,0.004651163,0.013953488
233,LST,LST15,1081,0,0.018604651
234,LST,LST16,1094,0,0.009302326
235,LST,LST17,1103,0,0.023255814
236,LST,LST18,1107,0,0
237,LST,LST19,1113,0,0.027906977
238,LST,LST20,1117,0,0.004651163
239,LST,LST21,1122,0.004651163,0.004651163
240,LST,LST22,1129,0.009302326,0.013953488
241,LST,LST23,1136,0,0.023255814
242,LST,LST024,1148,0,0.027906977
243,LST,LST025,1120,0,0.027906977
244,LST,LST026,1100,0,0.03255814
245,LST,LST27,1078,0,0.023255814
246,LST,LST28,1061,0,0.051162791
247,LST,LST29,1034,0,0.004651163
