,Line,Trap.ID,Elevation,mrat,mstoat,sanitized_id,latitude,longitude,gps_elevation
57,CHR,CHR206,1115,0.00465116279069767,0.0511627906976744,206,-43.162856,171.681217,1115.4870605
58,CHR,CHR207,1106,0,0.0186046511627907,207,-43.1641346,171.6813327,1106.3544922
59,CHR,CHR208,1088,0.00930232558139535,0.0186046511627907,208,-43.1634836,171.6822444,1088.0895996
60,CHR,CHR209,1074,0.00465116279069767,0.0325581395348837,209,-43.1644945,171.6813437,1074.1506348
61,CHR,CHR210,1067,0.00465116279069767,0.0232558139534884,210,-43.1653616,171.6825527,1066.7004395
62,CHR,CHR211,1067,0.00930232558139535,0.0372093023255814,211,-43.1660551,171.6831451,1067.1811523
63,CHR,CHR212,1062,0,0.013953488372093,212,-43.1665857,171.6835785,1061.6535645
64,CHR,CHR213,1062,0.00930232558139535,0.0232558139534884,213,-43.1671305,171.6867861,1061.6535645
65,CHR,CHR214,1055,0.0232558139534884,0.013953488372093,214,-43.1675885,171.6856852,1055.4050293
66,CHR,CHR215,1046,0,0.027906976744186,215,-43.1685404,171.6851567,1045.5517578
67,CHR,CHR216,1042,0.00465116279069767,0.0325581395348837,216,-43.1691978,171.6845727,1041.9465332
68,CHR,CHR217,1032,0.00930232558139535,0.013953488372093,217,-43.1697565,171.6849967,1031.8530273
69,CHR,CHR218,1024,0.00465116279069767,0.00930232558139535,218,-43.1699684,171.686535,1024.1625977
70,CHR,CHR219,1016,0.00930232558139535,0.00465116279069767,219,-43.1707223,171.685817,1015.5107422
71,CHR,CHR220,1005,0.00465116279069767,0.0232558139534884,220,-43.1713408,171.685343,1005.416748
72,CHR,CHR221,1006,0.00930232558139535,0.0325581395348837,221,-43.1716144,171.6843626,1005.8974609
73,CHR,CHR222,991,0,0.0418604651162791,222,-43.1726642,171.6837943,991.2375488
74,CHR,CHR223,981,0.00465116279069767,0.013953488372093,223,-43.173627,171.6830286,981.144043
75,CHR,CHR224,959,0,0.00930232558139535,224,-43.1744517,171.6839882,959.0
76,CHR,CHR225,945,0.0186046511627907,0.0325581395348837,225,-43.1751319,171.6849702,945.0
77,CHR,CHR226,935,0.00465116279069767,0,226,-43.1760078,171.6855547,935.0
78,CHR,CHR227,926,0.00465116279069767,0.00930232558139535,227,-43.1764208,171.686502,926.0
82,CRV,CRV402,824,0,0.013953488372093,402,-43.145336,171.73752,823.9694824
83,CRV,CRV403,830,0,0.0325581395348837,403,-43.14115,171.740075,
84,CRV,CRV404,830,0,0.0325581395348837,404,-43.139882,171.738432,836.7067871
87,CRV,CRV406,845,0.00465116279069767,0.0232558139534884,406,-43.139061,171.737638,844.6374512
88,CRV,CRV407,846,0.0186046511627907,0.0232558139534884,407,-43.138643,171.736382,850.1650391
89,CRV,CRV408,850,0.027906976744186,0.0372093023255814,408,-43.137538,171.734392,868.4301758
90,CRV,CRV409,868,0.0186046511627907,0.0372093023255814,409,-43.136345,171.733462,
91,CRV,CRV410,901,0.00465116279069767,0.0325581395348837,410,-43.135652,171.731981,901.3549805
92,CRV,CRV411,901,0.013953488372093,0.00465116279069767,411,-43.135645,171.730621,918.418457
